State,Birthplace,Weight
1,512,2.21
1,1,33385.04
1,2,70.12
1,515,53.67
1,4,67.6
1,5,167.88
1,518,49.79
1,513,12.02
1,8,86.01
1,521,93.65
1,10,23.36
1,11,55.61
1,12,1221.8
1,13,1701.83
1,15,40.98
1,16,14.48
1,17,559.42
1,18,300.89
1,19,75.21
1,20,102.23
1,21,262.57
1,22,484.88
1,23,47.82
1,24,112.72
1,25,118.5
1,26,472.72
1,27,59.43
1,28,986.88
1,29,206.95
1,542,12.71
1,31,45.19
1,32,14.48
1,33,16.43
1,34,176.82
1,35,43.63
1,36,434.78
1,37,312.86
1,38,20.6
1,39,481.02
1,40,117.36
1,41,34.08
1,42,286.12
1,44,20.17
1,45,216.62
1,46,17.53
1,47,820.88
1,48,599.81
1,49,22.31
1,50,12.06
1,51,286.29
1,53,94.46
1,54,103.17
1,9,62.49
1,56,11.91
1,522,13.89
1,438,9.04
1,524,2.92
1,514,4.2
1,599,4.41
1,600,72.99
1,100,1.99
1,105,8.57
1,110,42.0
1,115,2.82
1,532,2.21
1,534,4.46
1,535,3.02
1,516,0.59
1,536,1.41
1,150,40.53
1,537,3.05
1,160,3.66
1,540,3.55
1,517,9.27
1,541,0.98
1,30,16.96
1,6,494.38
1,700,6.99
1,544,3.65
1,710,0.75
1,200,655.34
1,210,158.47
1,250,13.0
1,260,44.43
1,520,0.29
1,299,0.72
1,300,63.34
1,55,103.57
1,400,0.64
1,401,0.38
1,402,0.83
1,404,2.3
1,405,3.11
1,410,42.38
1,411,4.82
1,413,14.78
1,414,3.94
1,420,2.58
1,421,9.66
1,425,6.74
1,426,1.52
1,430,0.15
1,433,4.57
1,434,11.62
1,436,1.31
1,950,1.16
1,450,2.51
1,451,0.49
1,452,3.54
1,453,204.69
1,454,0.77
1,455,3.85
1,456,6.78
1,457,2.89
1,460,0.19
1,461,0.44
1,462,0.19
1,465,35.77
1,499,0.8
1,500,73.44
1,501,47.77
1,502,75.9
1,511,4.23
2,512,0.87
2,1,40.12
2,2,2759.95
2,515,155.41
2,4,68.96
2,517,13.0
2,6,483.21
2,513,10.2
2,8,100.19
2,9,22.68
2,10,7.27
2,11,11.65
2,12,91.56
2,13,62.64
2,15,52.19
2,16,79.91
2,17,102.28
2,18,52.35
2,19,44.3
2,20,44.94
2,21,25.63
2,22,40.65
2,23,18.17
2,24,27.71
2,25,46.19
2,26,144.55
2,27,127.85
2,28,21.31
2,29,61.7
2,30,90.53
2,31,40.27
2,32,22.04
2,33,14.3
2,34,48.2
2,35,38.36
2,36,147.52
2,518,7.4
2,38,39.31
2,39,103.01
2,40,62.09
2,41,204.37
2,42,107.27
2,44,8.98
2,45,29.31
2,46,34.53
2,47,29.45
2,48,176.49
2,49,57.82
2,50,7.56
2,51,43.75
2,53,327.59
2,54,12.53
2,521,9.27
2,56,28.87
2,522,0.96
2,950,2.07
2,524,0.05
2,514,1.1
2,599,0.29
2,600,16.39
2,100,24.35
2,105,8.27
2,110,8.73
2,115,0.82
2,534,3.86
2,516,0.26
2,150,31.69
2,537,0.77
2,5,31.53
2,160,0.07
2,540,0.31
2,541,0.09
2,542,0.99
2,700,8.68
2,710,3.01
2,200,37.58
2,210,17.67
2,37,51.08
2,250,1.37
2,260,24.84
2,520,0.07
2,299,0.44
2,300,20.85
2,55,85.95
2,401,0.87
2,402,1.45
2,404,1.4
2,405,2.19
2,410,8.15
2,411,1.91
2,413,3.85
2,414,3.35
2,420,0.4
2,421,4.64
2,425,5.4
2,426,3.7
2,430,1.9
2,433,2.42
2,434,3.62
2,436,0.65
2,438,2.64
2,450,0.8
2,451,0.84
2,452,1.2
2,453,49.65
2,454,0.47
2,455,5.56
2,456,0.27
2,457,4.31
2,461,1.17
2,465,24.09
2,499,0.26
2,500,15.33
2,501,21.65
2,502,38.27
2,509,0.41
2,511,1.81
4,512,15.15
4,1,154.9
4,2,141.83
4,515,257.31
4,4,23342.03
4,5,267.22
4,6,5854.21
4,513,13.18
4,8,768.65
4,521,297.33
4,10,35.37
4,11,103.93
4,12,367.66
4,13,187.05
4,15,161.75
4,16,277.55
4,17,2416.0
4,18,758.15
4,19,790.78
4,20,471.44
4,21,218.84
4,22,193.02
4,23,133.05
4,24,208.07
4,25,488.43
4,26,1471.27
4,27,862.19
4,28,112.96
4,29,638.59
4,542,10.72
4,31,452.56
4,32,240.13
4,33,82.97
4,34,602.98
4,35,773.46
4,36,1922.67
4,518,175.39
4,38,254.15
4,39,1417.67
4,40,459.25
4,41,416.66
4,42,1049.1
4,44,81.69
4,45,90.62
4,46,255.67
4,47,220.66
4,48,1473.41
4,49,663.45
4,50,52.98
4,51,270.88
4,53,741.24
4,54,148.93
4,9,239.33
4,56,175.31
4,522,50.67
4,950,11.35
4,524,2.43
4,514,12.16
4,599,14.57
4,600,217.45
4,100,9.44
4,105,23.34
4,110,73.58
4,115,3.18
4,532,85.6
4,534,16.62
4,535,15.17
4,516,7.58
4,536,5.69
4,150,390.65
4,537,19.86
4,160,5.14
4,540,12.07
4,517,43.47
4,541,9.65
4,30,227.64
4,700,19.48
4,544,5.59
4,710,9.16
4,200,5552.95
4,210,270.96
4,37,214.93
4,250,42.1
4,260,63.76
4,520,10.79
4,299,1.56
4,300,201.33
4,55,838.93
4,400,7.6
4,401,4.82
4,402,2.39
4,404,5.3
4,405,12.3
4,410,115.87
4,411,19.07
4,413,65.55
4,414,21.47
4,420,8.86
4,421,38.31
4,425,28.6
4,426,11.26
4,430,6.67
4,433,18.02
4,434,63.48
4,436,9.89
4,438,26.29
4,450,10.32
4,451,8.82
4,452,15.59
4,453,316.05
4,454,17.28
4,455,48.67
4,456,54.61
4,457,98.84
4,460,0.55
4,461,4.38
4,462,3.67
4,465,88.56
4,499,5.61
4,500,219.63
4,501,94.07
4,502,140.19
4,509,0.6
4,511,11.9
5,512,3.2
5,1,137.51
5,2,98.81
5,515,39.0
5,4,110.92
5,5,17616.73
5,6,1074.38
5,513,30.19
5,8,121.38
5,521,51.13
5,10,9.62
5,11,21.59
5,12,207.85
5,13,118.96
5,15,17.08
5,16,27.05
5,17,650.96
5,18,219.17
5,19,194.67
5,20,313.89
5,21,104.91
5,22,515.36
5,23,22.56
5,24,35.5
5,25,52.21
5,26,320.41
5,27,104.86
5,28,352.69
5,29,814.53
5,30,15.93
5,31,100.32
5,32,30.56
5,33,9.15
5,34,63.61
5,35,77.27
5,36,163.2
5,37,85.6
5,38,20.27
5,39,197.1
5,40,685.72
5,41,66.53
5,42,125.99
5,44,18.76
5,45,43.6
5,46,35.93
5,47,588.99
5,48,1460.6
5,49,32.31
5,50,6.1
5,51,95.75
5,53,85.33
5,54,44.79
5,55,137.11
5,56,24.51
5,522,3.43
5,950,30.19
5,524,2.45
5,514,1.35
5,599,1.48
5,600,26.18
5,100,0.15
5,105,3.35
5,110,23.98
5,115,0.63
5,532,3.67
5,534,1.91
5,535,2.52
5,516,0.89
5,536,0.62
5,150,27.96
5,537,0.95
5,160,0.63
5,540,1.11
5,517,8.65
5,541,1.64
5,542,2.15
5,700,7.62
5,200,634.75
5,518,50.37
5,210,160.09
5,250,3.15
5,260,12.0
5,9,33.1
5,299,0.62
5,300,36.34
5,400,0.36
5,401,0.2
5,402,0.52
5,404,0.32
5,405,1.1
5,410,20.39
5,411,2.82
5,413,10.26
5,414,4.5
5,420,0.64
5,421,13.64
5,425,2.56
5,426,0.57
5,430,0.34
5,433,0.8
5,434,8.32
5,436,1.47
5,438,3.86
5,450,1.59
5,451,3.18
5,452,1.43
5,453,81.38
5,454,2.12
5,455,1.63
5,456,5.57
5,457,3.27
5,460,0.24
5,461,0.3
5,462,0.51
5,465,10.09
5,499,0.54
5,500,34.47
5,501,26.17
5,502,23.91
5,509,1.58
5,511,2.55
6,512,411.01
6,1,738.32
6,2,461.73
6,515,8554.92
6,4,1949.7
6,5,1134.96
6,6,197156.03
6,513,589.96
6,8,1704.53
6,521,4228.91
6,522,1993.08
6,11,490.24
6,12,1224.12
6,514,153.29
6,15,1290.13
6,16,584.32
6,17,4662.97
6,18,1402.5
6,19,1313.32
6,20,1080.95
6,21,477.24
6,22,1567.76
6,23,556.22
6,24,769.18
6,537,321.29
6,26,2837.86
6,27,1563.31
6,28,776.13
6,29,1744.33
6,30,440.47
6,31,906.82
6,32,779.31
6,33,217.63
6,34,1903.24
6,35,958.52
6,36,6239.17
6,518,4822.44
6,38,473.32
6,39,3005.66
6,40,1670.21
6,41,1705.82
6,42,2913.15
6,44,322.44
6,45,358.56
6,46,454.23
6,47,729.01
6,48,5213.16
6,49,1028.66
6,50,105.28
6,51,1054.15
6,53,2360.88
6,54,289.18
6,55,1305.12
6,56,283.85
6,10,131.67
6,950,57.27
6,524,50.88
6,13,789.69
6,599,143.57
6,600,1563.94
6,100,176.66
6,105,262.72
6,110,373.72
6,115,27.58
6,532,311.23
6,534,335.27
6,535,152.86
6,516,96.19
6,536,37.09
6,150,1424.9
6,25,1913.51
6,160,13.25
6,540,65.56
6,517,705.02
6,541,178.84
6,542,164.77
6,700,282.99
6,544,68.59
6,710,465.22
6,200,43860.33
6,210,8467.7
6,37,755.18
6,250,391.82
6,260,346.39
6,520,265.9
6,9,813.86
6,299,41.1
6,300,2450.25
6,400,87.83
6,401,30.88
6,402,11.76
6,404,49.04
6,405,122.34
6,410,779.66
6,411,117.98
6,413,481.32
6,414,217.87
6,420,53.35
6,421,389.01
6,425,202.03
6,426,101.96
6,430,12.24
6,433,151.43
6,434,385.13
6,436,299.69
6,438,162.76
6,450,89.53
6,451,87.28
6,452,102.99
6,453,1256.41
6,454,127.84
6,455,231.5
6,456,270.63
6,457,226.6
6,460,12.61
6,461,32.94
6,462,33.72
6,465,2231.13
6,499,47.67
6,500,7333.95
6,501,1403.83
6,502,3442.81
6,509,59.44
6,511,580.73
8,512,16.33
8,1,148.12
8,2,123.77
8,515,115.69
8,4,483.41
8,5,165.78
8,6,3016.35
8,513,22.32
8,8,20937.11
8,521,164.53
8,10,39.23
8,11,119.7
8,12,445.83
8,13,237.43
8,15,126.43
8,16,167.1
8,17,1427.82
8,18,456.32
8,19,794.59
8,20,941.62
8,21,160.29
8,22,271.72
8,23,107.76
8,24,240.22
8,25,362.51
8,26,830.83
8,27,629.57
8,28,128.2
8,29,627.26
8,30,244.74
8,31,895.25
8,32,122.25
8,33,64.57
8,34,479.45
8,35,675.49
8,36,1213.17
8,37,211.13
8,38,244.34
8,39,818.31
8,40,518.99
8,41,243.37
8,42,711.61
8,44,49.89
8,45,99.54
8,46,307.24
8,47,181.52
8,48,1614.14
8,49,411.96
8,50,39.09
8,51,296.2
8,53,416.34
8,54,84.02
8,9,202.9
8,56,423.18
8,522,31.83
8,950,6.08
8,524,25.2
8,514,8.74
8,599,14.89
8,600,246.98
8,100,4.12
8,105,14.36
8,110,62.89
8,115,3.99
8,532,11.18
8,534,11.45
8,535,6.31
8,516,7.97
8,536,5.22
8,150,171.69
8,537,8.61
8,160,2.06
8,540,15.4
8,517,41.63
8,541,4.13
8,542,9.7
8,700,36.37
8,544,0.87
8,710,4.82
8,200,2377.83
8,518,182.7
8,210,235.93
8,250,14.59
8,260,40.15
8,520,8.62
8,299,0.98
8,300,152.16
8,55,544.56
8,400,5.74
8,401,4.51
8,402,3.88
8,404,6.58
8,405,12.01
8,410,108.64
8,411,11.47
8,413,44.62
8,414,9.91
8,420,11.1
8,421,36.48
8,425,24.92
8,426,13.37
8,430,0.28
8,433,16.63
8,434,34.01
8,436,3.31
8,438,19.07
8,450,13.45
8,451,11.26
8,452,17.5
8,453,360.76
8,454,12.29
8,455,41.8
8,456,16.4
8,457,31.46
8,460,2.44
8,461,4.8
8,462,5.93
8,465,148.2
8,499,3.15
8,500,161.94
8,501,84.18
8,502,166.53
8,509,6.23
8,511,15.23
9,512,6.31
9,1,72.84
9,2,32.58
9,515,90.08
9,516,6.62
9,5,12.73
9,6,345.71
9,513,20.38
9,8,59.89
9,9,19650.71
9,10,30.21
9,11,67.06
9,12,231.87
9,13,128.85
9,15,27.11
9,16,15.21
9,17,243.72
9,18,74.22
9,19,41.87
9,20,29.7
9,21,36.84
9,22,42.46
9,23,285.0
9,24,112.01
9,25,1330.68
9,26,182.91
9,27,58.53
9,28,26.49
9,29,61.19
9,542,26.11
9,31,26.22
9,32,9.99
9,33,140.27
9,34,578.95
9,35,16.82
9,36,3371.66
9,518,71.96
9,38,7.42
9,39,218.68
9,40,27.34
9,41,22.69
9,42,556.1
9,44,370.83
9,45,150.98
9,46,10.61
9,47,45.14
9,48,146.79
9,49,21.46
9,50,120.03
9,51,164.97
9,53,59.43
9,54,35.4
9,521,392.79
9,56,4.26
9,522,16.91
9,950,0.54
9,524,10.87
9,514,4.35
9,599,12.25
9,600,161.9
9,100,0.23
9,105,4.49
9,110,939.96
9,115,11.74
9,532,5.91
9,4,34.68
9,534,17.41
9,535,2.68
9,536,1.73
9,150,190.39
9,537,12.41
9,160,12.75
9,540,4.33
9,517,21.69
9,541,5.38
9,30,10.95
9,700,17.33
9,544,4.72
9,710,0.78
9,200,255.12
9,210,283.17
9,37,204.81
9,250,28.84
9,260,699.98
9,520,2.82
9,299,0.52
9,300,749.11
9,55,66.82
9,400,4.19
9,401,3.89
9,402,0.69
9,404,6.43
9,405,9.34
9,410,90.74
9,411,20.99
9,413,64.81
9,414,44.29
9,420,7.38
9,421,31.69
9,425,20.45
9,426,11.09
9,430,39.13
9,433,59.23
9,434,222.2
9,436,130.95
9,438,19.77
9,450,10.13
9,451,3.56
9,452,16.11
9,453,132.17
9,454,22.91
9,455,285.87
9,456,22.13
9,457,50.43
9,460,1.6
9,461,6.3
9,462,12.09
9,465,130.02
9,499,8.44
9,500,230.07
9,501,44.71
9,502,71.96
9,509,0.93
9,511,26.78
10,512,0.58
10,1,32.64
10,2,19.74
10,515,31.25
10,4,11.38
10,5,7.03
10,6,79.22
10,513,1.14
10,8,12.98
10,521,94.7
10,10,4022.98
10,11,67.79
10,12,72.32
10,13,45.14
10,15,6.73
10,16,0.91
10,17,59.33
10,18,30.09
10,19,13.18
10,20,12.01
10,21,23.16
10,22,17.64
10,23,20.9
10,24,570.84
10,25,76.27
10,26,45.87
10,27,12.08
10,28,14.71
10,29,19.6
10,542,6.39
10,31,9.7
10,32,1.55
10,33,12.72
10,34,418.46
10,35,3.93
10,36,443.4
10,37,82.64
10,38,3.19
10,39,82.99
10,40,12.43
10,41,5.18
10,42,1189.1
10,44,14.95
10,45,43.23
10,46,5.52
10,47,28.83
10,48,63.88
10,49,7.42
10,50,3.94
10,51,150.25
10,53,16.04
10,54,58.67
10,9,44.97
10,56,3.38
10,522,2.83
10,438,4.14
10,524,0.87
10,514,1.7
10,599,1.69
10,600,80.86
10,105,2.54
10,110,78.06
10,115,1.18
10,532,0.15
10,534,1.98
10,535,0.67
10,516,0.77
10,536,0.27
10,150,18.07
10,537,2.89
10,160,0.35
10,540,0.85
10,517,2.79
10,541,0.08
10,30,6.49
10,700,1.68
10,544,1.61
10,200,164.21
10,518,11.28
10,210,45.61
10,250,4.55
10,260,62.76
10,520,0.23
10,300,46.16
10,55,17.29
10,400,0.14
10,401,0.46
10,402,0.18
10,404,0.12
10,405,1.15
10,410,20.72
10,411,2.54
10,413,10.83
10,414,5.26
10,420,1.78
10,421,4.35
10,425,2.14
10,426,0.78
10,430,0.44
10,433,5.3
10,434,8.2
10,436,1.37
10,950,0.89
10,450,1.72
10,451,2.72
10,452,1.4
10,453,30.33
10,454,0.78
10,455,6.04
10,456,3.71
10,457,1.41
10,460,0.49
10,461,0.24
10,462,0.61
10,465,12.51
10,499,0.24
10,500,50.14
10,501,9.34
10,502,20.22
10,511,0.43
11,512,3.9
11,1,29.23
11,2,7.07
11,515,16.87
11,4,13.17
11,5,10.07
11,6,159.24
11,513,0.36
11,8,18.92
11,9,50.47
11,10,16.58
11,11,2282.24
11,12,62.4
11,13,67.38
11,15,9.47
11,16,3.55
11,17,94.03
11,18,36.07
11,19,13.81
11,20,14.77
11,21,18.48
11,22,30.34
11,23,9.45
11,24,286.31
11,25,86.96
11,26,74.09
11,27,25.42
11,28,14.71
11,29,32.45
11,30,5.02
11,31,8.86
11,32,3.9
11,33,10.83
11,34,117.61
11,35,11.2
11,36,342.12
11,37,193.73
11,38,5.82
11,39,92.75
11,40,10.18
11,41,15.23
11,42,166.17
11,44,12.67
11,45,119.51
11,46,3.51
11,47,25.17
11,48,82.03
11,49,7.33
11,50,5.09
11,51,242.52
11,53,68.56
11,54,20.15
11,521,33.2
11,56,1.91
11,522,7.09
11,950,0.96
11,524,0.61
11,514,2.15
11,599,3.35
11,600,117.02
11,105,0.44
11,110,9.17
11,115,2.7
11,532,0.54
11,534,4.23
11,535,1.62
11,516,1.66
11,536,1.38
11,150,19.98
11,537,4.02
11,160,1.53
11,540,1.5
11,517,3.8
11,541,0.6
11,542,5.39
11,700,7.2
11,710,0.23
11,200,33.9
11,518,12.36
11,210,193.41
11,250,7.18
11,260,77.88
11,520,0.51
11,299,0.29
11,300,66.87
11,55,33.47
11,400,4.63
11,401,1.64
11,402,0.39
11,404,1.12
11,405,2.85
11,410,12.78
11,411,0.77
11,413,14.1
11,414,4.88
11,420,4.5
11,421,17.65
11,425,3.53
11,426,2.55
11,430,0.49
11,433,3.47
11,434,11.12
11,436,1.49
11,438,8.72
11,450,4.2
11,451,5.05
11,452,1.59
11,453,27.27
11,454,1.58
11,455,4.41
11,456,3.61
11,457,4.54
11,460,0.33
11,461,0.28
11,462,0.85
11,465,16.23
11,499,2.09
11,500,28.6
11,501,9.38
11,502,15.81
11,511,1.13
12,512,36.7
12,513,48.22
12,2,289.4
12,515,737.4
12,4,264.33
12,5,399.04
12,518,485.5
12,1,2216.59
12,8,487.51
12,521,863.72
12,10,253.04
12,11,569.33
12,12,64845.54
12,13,3807.08
12,15,227.64
12,16,88.74
12,17,4257.43
12,18,2371.0
12,19,616.74
12,20,440.22
12,21,1347.16
12,534,144.14
12,23,639.05
12,24,1441.92
12,25,3595.29
12,26,4056.95
12,27,761.76
12,28,726.81
12,29,1074.59
12,30,91.28
12,31,282.86
12,32,109.07
12,33,448.05
12,34,4883.21
12,35,168.0
12,36,15993.42
12,37,1599.8
12,38,137.22
12,39,5191.14
12,40,469.5
12,41,170.82
12,42,5601.04
12,44,727.16
12,45,1021.2
12,46,147.15
12,47,1236.28
12,48,2012.33
12,49,140.61
12,50,257.94
12,51,1801.74
12,53,413.16
12,54,1083.77
12,55,1210.01
12,56,71.31
12,522,86.98
12,950,9.94
12,524,6.41
12,514,15.36
12,599,58.68
12,600,608.87
12,100,5.2
12,105,40.16
12,110,3700.38
12,115,153.12
12,532,28.37
12,22,823.37
12,535,33.38
12,516,10.59
12,536,19.94
12,150,1138.69
12,537,64.17
12,160,30.12
12,540,34.02
12,517,122.73
12,541,37.76
12,542,82.31
12,6,2420.44
12,700,63.61
12,544,1.43
12,710,14.57
12,200,2879.37
12,210,3464.33
12,250,8106.97
12,260,6656.29
12,520,7.64
12,9,1867.49
12,299,24.45
12,300,6395.97
12,400,26.53
12,401,21.45
12,402,14.36
12,404,27.23
12,405,47.68
12,410,506.3
12,411,80.51
12,413,301.56
12,414,111.22
12,420,37.06
12,421,202.62
12,425,80.43
12,426,41.73
12,430,59.56
12,433,123.33
12,434,359.7
12,436,90.33
12,438,201.68
12,450,48.35
12,451,44.03
12,452,77.05
12,453,938.38
12,454,103.6
12,455,237.02
12,456,124.74
12,457,197.03
12,460,13.46
12,461,12.0
12,462,30.45
12,465,387.45
12,499,30.42
12,500,466.2
12,501,206.73
12,502,217.93
12,509,2.57
12,511,43.16
13,512,25.77
13,1,2352.55
13,2,139.74
13,515,165.61
13,4,155.96
13,5,286.74
13,518,340.94
13,513,51.42
13,8,201.06
13,521,738.86
13,522,71.63
13,11,249.88
13,12,3600.05
13,13,53120.92
13,15,117.4
13,16,42.91
13,17,1398.23
13,18,698.05
13,19,221.47
13,20,232.57
13,21,578.38
13,22,861.6
13,23,155.54
13,24,476.84
13,25,534.25
13,26,1158.09
13,27,196.71
13,28,677.34
13,29,494.08
13,30,36.17
13,517,57.61
13,32,52.24
13,33,75.39
13,34,1043.84
13,35,99.59
13,36,2963.84
13,37,1475.86
13,38,42.1
13,39,1496.95
13,40,260.12
13,41,95.68
13,42,1198.08
13,44,99.79
13,45,1437.2
13,46,50.49
13,47,1904.3
13,48,1257.97
13,49,84.25
13,50,38.06
13,51,966.1
13,53,216.93
13,54,295.29
13,55,298.8
13,56,29.74
13,10,80.45
13,950,8.21
13,524,8.85
13,514,18.53
13,599,19.13
13,600,763.27
13,100,6.06
13,105,18.99
13,110,223.39
13,115,70.54
13,532,18.08
13,534,20.26
13,535,11.84
13,516,4.19
13,536,5.4
13,150,181.25
13,537,20.78
13,160,17.77
13,540,6.7
13,541,8.26
13,542,24.47
13,6,1577.19
13,31,137.96
13,700,23.33
13,544,2.59
13,710,4.01
13,200,2854.34
13,210,839.53
13,250,100.77
13,260,752.9
13,520,10.9
13,9,341.41
13,299,4.84
13,300,627.09
13,400,8.12
13,401,6.33
13,402,2.1
13,404,2.82
13,405,12.36
13,410,125.43
13,411,14.8
13,413,83.7
13,414,16.54
13,420,17.3
13,421,46.0
13,425,25.25
13,426,8.93
13,430,12.31
13,433,12.73
13,434,45.98
13,436,8.69
13,438,32.83
13,450,13.11
13,451,19.69
13,452,13.59
13,453,482.6
13,454,8.34
13,455,33.26
13,456,56.07
13,457,74.1
13,460,0.58
13,461,3.93
13,462,8.69
13,465,155.95
13,499,2.01
13,500,317.68
13,501,118.52
13,502,449.48
13,509,1.89
13,511,30.15
15,512,15.92
15,1,27.93
15,2,40.02
15,515,1132.83
15,4,48.37
15,517,20.33
15,6,867.61
15,513,12.96
15,8,65.66
15,9,31.84
15,522,2.91
15,11,17.98
15,12,80.79
15,13,64.57
15,15,7379.76
15,16,23.08
15,17,125.01
15,18,46.6
15,19,33.55
15,20,38.81
15,21,26.84
15,22,36.4
15,23,17.19
15,24,49.07
15,25,77.48
15,26,99.34
15,27,61.45
15,28,17.39
15,29,43.53
15,30,20.07
15,31,23.9
15,32,30.12
15,33,11.92
15,34,69.97
15,35,20.11
15,36,182.6
15,518,93.97
15,38,15.5
15,39,91.46
15,40,31.77
15,41,73.78
15,42,103.24
15,44,17.51
15,45,29.21
15,46,16.17
15,47,22.93
15,48,161.35
15,49,40.66
15,50,9.44
15,51,70.71
15,53,159.58
15,54,14.43
15,55,50.37
15,56,6.69
15,10,9.66
15,950,70.36
15,514,4.43
15,599,1.73
15,600,14.2
15,100,99.52
15,105,40.37
15,110,17.91
15,115,2.37
15,532,0.57
15,534,3.75
15,535,0.9
15,516,3.02
15,536,0.21
15,150,53.58
15,5,20.89
15,160,0.38
15,540,0.58
15,541,0.08
15,542,1.41
15,700,26.14
15,544,0.5
15,710,146.47
15,200,65.03
15,210,18.14
15,37,50.91
15,250,2.75
15,260,15.67
15,521,10.94
15,299,0.13
15,300,32.71
15,400,1.4
15,401,2.28
15,402,0.27
15,404,2.21
15,405,1.65
15,410,19.7
15,411,1.99
15,413,11.11
15,414,3.52
15,420,0.77
15,421,11.25
15,425,5.08
15,426,5.16
15,433,1.69
15,434,7.21
15,436,1.81
15,438,4.36
15,450,3.6
15,451,3.08
15,452,4.41
15,453,48.09
15,454,2.26
15,455,6.07
15,456,2.68
15,457,2.01
15,460,0.34
15,462,0.36
15,465,10.98
15,499,0.52
15,500,240.43
15,501,283.5
15,502,179.7
15,509,4.6
15,511,3.46
16,512,1.21
16,513,7.59
16,2,60.42
16,515,16.69
16,4,169.93
16,5,42.51
16,6,1693.33
16,1,25.98
16,8,194.5
16,521,17.08
16,522,2.28
16,11,11.32
16,12,79.47
16,13,32.48
16,15,37.47
16,16,7172.13
16,17,161.2
16,18,67.73
16,19,96.0
16,20,110.43
16,21,26.74
16,22,32.05
16,23,15.27
16,24,33.58
16,25,52.64
16,26,134.26
16,27,114.2
16,28,17.68
16,29,105.78
16,30,263.37
16,31,120.2
16,32,160.39
16,33,10.56
16,34,55.87
16,35,61.78
16,36,136.31
16,37,36.9
16,38,85.57
16,39,116.09
16,40,83.24
16,41,537.52
16,42,118.35
16,44,5.58
16,45,19.48
16,46,78.02
16,47,28.72
16,48,239.27
16,49,673.99
16,50,7.51
16,51,48.56
16,53,808.14
16,54,15.24
16,9,24.07
16,56,128.24
16,10,5.81
16,950,4.92
16,524,4.75
16,514,1.29
16,599,5.09
16,600,20.21
16,100,0.78
16,105,4.16
16,110,11.37
16,115,0.56
16,532,0.84
16,534,0.51
16,535,0.78
16,516,2.17
16,536,0.25
16,150,63.89
16,160,0.18
16,540,1.65
16,517,7.75
16,542,1.18
16,700,7.67
16,710,2.2
16,200,500.82
16,518,12.26
16,210,21.43
16,250,1.5
16,260,4.14
16,520,3.93
16,300,30.25
16,55,89.15
16,400,1.33
16,401,0.48
16,402,0.57
16,404,0.9
16,405,2.54
16,410,25.64
16,411,1.54
16,413,13.32
16,414,2.94
16,420,0.9
16,421,5.98
16,425,6.19
16,426,3.1
16,433,1.14
16,434,6.37
16,436,3.71
16,438,8.54
16,450,6.43
16,451,0.31
16,452,1.72
16,453,60.26
16,454,3.48
16,455,2.02
16,456,5.33
16,457,21.67
16,461,0.64
16,465,35.73
16,499,0.68
16,500,23.31
16,501,26.35
16,502,19.64
